PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Wang, JZ; Chen, TH; Zhu, CZ; Peng, SC				Wang, Ji-Zhong; Chen, Tian-Hu; Zhu, Cheng-Zhu; Peng, Shu-Chuan			Trace organic pollutants in sediments from Huaihe River, China: Evaluation of sources and ecological risk	JOURNAL OF HYDROLOGY																Wang, Ji-Zhong/G-8562-2012	Wang, Ji-Zhong/0000-0002-9395-4908												0022-1694	1879-2707				MAY 6	2014	512						463	469		10.1016/j.jhydrol.2014.03.012							WOS:000335706900038						
J	Yu, ZB; Lu, QG; Zhu, JT; Yang, CG; Ju, Q; Yang, T; Chen, X; Sudicky, EA				Yu, Zhongbo; Lu, Qingguan; Zhu, Jianting; Yang, Chuanguo; Ju, Qin; Yang, Tao; Chen, Xi; Sudicky, Edward A.			Spatial and Temporal Scale Effect in Simulating Hydrologic Processes in a Watershed	JOURNAL OF HYDROLOGIC ENGINEERING																													1084-0699	1943-5584				JAN 1	2014	19	1					99	107		10.1061/(ASCE)HE.1943-5584.0000762							WOS:000333453400010						
J	Ngongondo, C; Li, L; Gong, LB; Xu, CY; Alemaw, BF				Ngongondo, Cosmo; Li, Lu; Gong, Lebing; Xu, Chong-Yu; Alemaw, Berhanu F.			Flood frequency under changing climate in the upper Kafue River basin, southern Africa: a large scale hydrological model application	STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT																Li, Lu/AAZ-8193-2020; Xu, Chong-Yu/B-2941-2012	Li, Lu/0000-0003-3638-618X; Xu, Chong-Yu/0000-0003-4826-5350												1436-3240	1436-3259				DEC	2013	27	8					1883	1898		10.1007/s00477-013-0724-z							WOS:000325373600008						
J	Xu, HL; Xu, CY; Chen, H; Zhang, ZX; Li, L				Xu, Hongliang; Xu, Chong-Yu; Chen, Hua; Zhang, Zengxin; Li, Lu			Assessing the influence of rain gauge density and distribution on hydrological model performance in a humid region of China	JOURNAL OF HYDROLOGY																Chen, hua/AAN-1532-2020; Li, Lu/AAZ-8193-2020; Xu, Chong-Yu/B-2941-2012	Li, Lu/0000-0003-3638-618X; Xu, Chong-Yu/0000-0003-4826-5350												0022-1694	1879-2707				NOV 15	2013	505						1	12		10.1016/j.jhydrol.2013.09.004							WOS:000328806400001						
J	Li, BQ				Li, Bingqin			Governing urban climate change adaptation in China	ENVIRONMENT AND URBANIZATION																Li, Bingqin/C-5058-2017	Li, Bingqin/0000-0003-2240-0876												0956-2478	1746-0301				OCT	2013	25	2					413	427		10.1177/0956247813490907							WOS:000325803000008						
J	Ye, XC; Zhang, Q; Liu, J; Li, XH; Xu, CY				Ye, Xuchun; Zhang, Qi; Liu, Jian; Li, Xianghu; Xu, Chong-yu			Distinguishing the relative impacts of climate change and human activities on variation of streamflow in the Poyang Lake catchment, China	JOURNAL OF HYDROLOGY																Xu, Chong-Yu/B-2941-2012	Xu, Chong-Yu/0000-0003-4826-5350; Li, Xianghu/0000-0001-9934-1822												0022-1694	1879-2707				JUN 28	2013	494						83	95		10.1016/j.jhydrol.2013.04.036							WOS:000321466200008						
J	Li, L; Xu, CY; Engeland, K				Li, Lu; Xu, Chong-Yu; Engeland, Kolbjorn			Development and comparison in uncertainty assessment based Bayesian modularization method in hydrological modeling	JOURNAL OF HYDROLOGY																Xu, Chong-Yu/B-2941-2012; Li, Lu/AAZ-8193-2020	Xu, Chong-Yu/0000-0003-4826-5350; Li, Lu/0000-0003-3638-618X; Engeland, Kolbjorn/0000-0003-1081-8570												0022-1694	1879-2707				APR 12	2013	486						384	394		10.1016/j.jhydrol.2013.02.002							WOS:000317537400032						
J	Xu, YP; Zhang, XJ; Ran, QH; Tian, Y				Xu, Yue-Ping; Zhang, Xujie; Ran, Qihua; Tian, Ye			Impact of climate change on hydrology of upper reaches of Qiantang River Basin, East China	JOURNAL OF HYDROLOGY																Xu, Yueping/C-2934-2014; Ran, Qihua/R-1003-2019													0022-1694	1879-2707				MAR 13	2013	483						51	60		10.1016/j.jhydrol.2013.01.004							WOS:000316512300005						
J	Li, L; Ngongondo, CS; Xu, CY; Gong, LB				Li, Lu; Ngongondo, Cosmo S.; Xu, Chong-Yu; Gong, Lebing			Comparison of the global TRMM and VVFD precipitation datasets in driving a large-scale hydrological model in southern Africa	HYDROLOGY RESEARCH																Li, Lu/AAZ-8193-2020; Xu, Chong-Yu/B-2941-2012	Li, Lu/0000-0003-3638-618X; Xu, Chong-Yu/0000-0003-4826-5350												0029-1277	2224-7955					2013	44	5					770	788		10.2166/nh.2012.175							WOS:000326902700003						
J	Eregno, FE; Xu, CY; Kitterod, NO				Eregno, Fasil Ejigu; Xu, Chong-Yu; Kitterod, Nils-Otto			Modeling hydrological impacts of climate change in different climatic zones	INTERNATIONAL JOURNAL OF CLIMATE CHANGE STRATEGIES AND MANAGEMENT																Xu, Chong-Yu/B-2941-2012; Eregno, Fasil Ejigu/AAY-3729-2020	Xu, Chong-Yu/0000-0003-4826-5350; 												1756-8692	1756-8706					2013	5	3					344	365		10.1108/IJCCSM-04-2012-0024							WOS:000321992200007						
J	Zhang, ZX; Xu, CY; Yong, B; Hu, JJ; Sun, ZH				Zhang, Zengxin; Xu, Chong-Yu; Yong, Bin; Hu, Junjun; Sun, Zhonghua			Understanding the Changing Characteristics of Droughts in Sudan and the Corresponding Components of the Hydrologic Cycle	JOURNAL OF HYDROMETEOROLOGY																Sun, Zhonghua/N-1648-2019; Yong, Bin/C-2257-2014; Xu, Chong-Yu/B-2941-2012	Sun, Zhonghua/0000-0002-7538-4761; Yong, Bin/0000-0003-1466-2091; Xu, Chong-Yu/0000-0003-4826-5350												1525-755X	1525-7541				OCT	2012	13	5					1520	1535		10.1175/JHM-D-11-0109.1							WOS:000310042400008						
