PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Fazli, Hossein; Nieto, Juan J.; Bahrami, Fariba				Fazli, Hossein/AAG-4624-2020	Fazli, Hossein/0000-0001-7987-3776			ON THE EXISTENCE AND UNIQUENESS RESULTS FOR NONLINEAR SEQUENTIAL FRACTIONAL DIFFERENTIAL EQUATIONS								APPLIED AND COMPUTATIONAL MATHEMATICS				17	1			36	47						2018	2018										10	0	0	0	0	0	10			1683-3511	1683-6154		WOS:000429377600004		
J	Nec, Yana								Spike solutions in Gierer#x2013;Meinhardt model with a time dependent anomaly exponent								COMMUNICATIONS IN NONLINEAR SCIENCE AND NUMERICAL SIMULATION				54				267	285		10.1016/j.cnsns.2017.05.032				JAN 2018	2018										1	0	0	0	0	0	1			1007-5704	1878-7274		WOS:000405496000021		
J	Thabet, Hayman; Kendre, Subhash; Chalishajar, Dimplekumar				Thabet, Hayman/I-4611-2019	Thabet, Hayman/0000-0002-8544-4916			New Analytical Technique for Solving a System of Nonlinear Fractional Partial Differential Equations								MATHEMATICS				5	4					47	10.3390/math5040047				DEC 2017	2017										14	0	0	0	0	0	14			2227-7390			WOS:000424138400001		
J	Wu, Guo-Cheng; Baleanu, Dumitru; Xie, He-Ping; Zeng, Sheng-Da				Wu, Guo-Cheng/T-9088-2017	Wu, Guo-Cheng/0000-0002-1946-6770; Xie, Heping/0000-0002-1686-7827			Lattice fractional diffusion equation of random order								MATHEMATICAL METHODS IN THE APPLIED SCIENCES				40	17	SI		6054	6060		10.1002/mma.3644				NOV 30 2017	2017										2	0	0	0	0	0	2			0170-4214	1099-1476		WOS:000414353300002		
J	Dadras, Sara; Dadras, Soodeh; Momeni, HamidReza								Linear Matrix Inequality Based Fractional Integral Sliding-Mode Control of Uncertain Fractional-Order Nonlinear Systems								JOURNAL OF DYNAMIC SYSTEMS MEASUREMENT AND CONTROL-TRANSACTIONS OF THE ASME				139	11					111003	10.1115/1.4036807				NOV 2017	2017										27	0	0	0	2	0	27			0022-0434	1528-9028		WOS:000411138400003		
J	Zhao, Yang; Zhou, Fengyu; Wang, Yugang; Li, Yan								Fractional-order iterative learning control with initial state learning design								NONLINEAR DYNAMICS				90	2			1257	1268		10.1007/s11071-017-3724-6				OCT 2017	2017										6	1	0	0	0	0	6			0924-090X	1573-269X		WOS:000413843600035		
J	Zhao, Xuan; Hu, Xiaozhe; Cai, Wei; Karniadakis, George Em								Adaptive finite element method for fractional differential equations using hierarchical matrices								COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING				325				56	76		10.1016/j.cma.2017.06.017				OCT 1 2017	2017										29	2	0	0	1	0	30			0045-7825	1879-2138		WOS:000411735700004		
J	Tabatabaei, S. Sepehr; Talebi, Heidar Ali; Tavakoli, Mandi				Talebi, Heidar Ali/T-9621-2019	Talebi, Heidar Ali/0000-0001-6038-2109; Tavakoli, Mahdi/0000-0002-7427-6961			An adaptive order/state estimator for linear systems with non-integer time-varying order								AUTOMATICA				84				1	9		10.1016/j.automatica.2017.06.042				OCT 2017	2017										3	0	0	0	1	0	3			0005-1098	1873-2836		WOS:000411546300001		
J	Rivaz, Azim; Yousefi, Farzane								An extension of the singular boundary method for solving two dimensional time fractional diffusion equations								ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS				83				167	179		10.1016/j.enganabound.2017.07.009				OCT 2017	2017										2	0	0	0	0	0	2			0955-7997	1873-197X		WOS:000411773300015		
J	Sun, HongGuang; Liu, Xiaoting; Zhang, Yong; Pang, Guofei; Garrard, Rhiannon								A fast semi-discrete Kansa method to solve the two-dimensional spatiotemporal fractional diffusion equation								JOURNAL OF COMPUTATIONAL PHYSICS				345				74	90		10.1016/j.jcp.2017.05.012				SEP 15 2017	2017										20	0	0	0	1	0	19			0021-9991	1090-2716		WOS:000405974900006		
J	Tabatabaei, S. Sepehr; Talebi, H. A.; Tavakoli, M.				Talebi, Heidar Ali/T-9621-2019	Talebi, Heidar Ali/0000-0001-6038-2109; Tavakoli, Mahdi/0000-0002-7427-6961			A novel adaptive order/parameter identification method for variable order systems application in viscoelastic soft tissue modeling								CHAOS SOLITONS & FRACTALS				102				447	455		10.1016/j.chaos.2017.04.005				SEP 2017	2017										6	0	0	0	0	0	6			0960-0779	1873-2887		WOS:000406389600049		
J	Zhang, Yong; Sun, HongGuang; Stowell, Harold H.; Zayernouri, Mohsen; Hansen, Samantha E.								A review of applications of fractional calculus in Earth system dynamics								CHAOS SOLITONS & FRACTALS				102				29	46		10.1016/j.chaos.2017.03.051				SEP 2017	2017										37	1	0	0	4	0	38			0960-0779	1873-2887		WOS:000406389600004		
J	Sun, HongGuang; Li, Zhipeng; Zhang, Yong; Chen, Wen				Heisenberg, X/K-9096-2015	Li, ZhiPeng/0000-0001-8726-4663			Fractional and fractal derivative models for transient anomalous diffusion: Model comparison								CHAOS SOLITONS & FRACTALS				102				346	353		10.1016/j.chaos.2017.03.060				SEP 2017	2017										22	0	0	0	1	0	22			0960-0779	1873-2887		WOS:000406389600038		
J	Li, Zheng; Wang, Hong; Xiao, Rui; Yang, Su				Xiao, Rui/M-7742-2019; Xiao, Rui/J-5131-2013	Xiao, Rui/0000-0002-4380-9542			A variable-order fractional differential equation model of shape memory polymers								CHAOS SOLITONS & FRACTALS				102				473	485		10.1016/j.chaos.2017.04.042				SEP 2017	2017										25	0	0	0	0	0	25			0960-0779	1873-2887		WOS:000406389600052		
J	Yang, Xiao-Jun; Tenreiro Machado, J. A.				Yang, Xiao-Jun/E-8311-2011; Machado, J. A. Tenreiro/M-2173-2013	Yang, Xiao-Jun/0000-0003-0009-4599; Machado, J. A. Tenreiro/0000-0003-4274-4879			A new fractional operator of variable order: Application in the description of anomalous diffusion								PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS				481				276	283		10.1016/j.physa.2017.04.054				SEP 1 2017	2017										130	1	0	0	5	0	130			0378-4371	1873-2119		WOS:000402493000026		
J	Obembe, Abiola D.; Al-Yousef, Hasan Y.; Hossain, M. Enamul; Abu-Khamsin, Sidqi A.					Abu-Khamsin, Sidqi/0000-0001-7047-025X; Obembe, Abiola/0000-0003-1865-1082			Fractional derivatives and their applications in reservoir engineering problems: A review								JOURNAL OF PETROLEUM SCIENCE AND ENGINEERING				157				312	327		10.1016/j.petrol.2017.07.035				AUG 2017	2017										14	0	0	0	1	0	14			0920-4105	1873-4715		WOS:000410624800026		
J	Tayebi, A.; Shekari, Y.; Heydari, M. H.					Heydari, Mohammad Hossein/0000-0002-2169-9485			A meshless method for solving two-dimensional variable-order time fractional advection-diffusion equation								JOURNAL OF COMPUTATIONAL PHYSICS				340				655	669		10.1016/j.jcp.2017.03.061				JUL 1 2017	2017										42	1	0	0	0	0	42			0021-9991	1090-2716		WOS:000401137900030		
J	Cao, Jianxiong; Qiu, Yanan; Song, Guojie				Cao, Jianxiong/E-7700-2017	Cao, Jianxiong/0000-0002-6438-5515			A compact finite difference scheme for variable order subdiffusion equation								COMMUNICATIONS IN NONLINEAR SCIENCE AND NUMERICAL SIMULATION				48				140	149		10.1016/j.cnsns.2016.12.022				JUL 2017	2017										19	0	0	0	0	0	19			1007-5704	1878-7274		WOS:000395211000011		
J	Moghaddam, Behrouz Parsa; Tenreiro Machado, Jose Antonio				Moghaddam, Behrouz Parsa/J-1851-2018; Machado, J. A. Tenreiro/M-2173-2013	Moghaddam, Behrouz Parsa/0000-0003-4957-9028; Machado, J. A. Tenreiro/0000-0003-4274-4879			Extended Algorithms for Approximating Variable Order Fractional Derivatives with Applications								JOURNAL OF SCIENTIFIC COMPUTING				71	3			1351	1374		10.1007/s10915-016-0343-1				JUN 2017	2017										39	0	0	0	0	0	39			0885-7474	1573-7691		WOS:000400233500017		
J	Dahaghin, M. Sh.; Hassani, H.								An optimization method based on the generalized polynomials for nonlinear variable-order time fractional diffusion-wave equation								NONLINEAR DYNAMICS				88	3			1587	1598		10.1007/s11071-017-3330-7				MAY 2017	2017										17	0	0	0	1	0	17			0924-090X	1573-269X		WOS:000401472700005		
